cbsa_code,metro_name,city_state,year,quarter,fhfa_index,zillow_price_q,fhfa_qoq,fhfa_yoy,zillow_qoq,zillow_yoy,firms_founded,firms_founded_yoy,hhi_new,top_industry_share_new,industry_count_new,firm_count_total,hhi_stock,top_industry_share_stock,industry_count_stock,share_large_proxy,median_size_mid,firms_founded_yoy_lag1q,hhi_new_lag1q,firms_founded_yoy_lag2q,hhi_new_lag2q,firms_founded_yoy_lag4q,hhi_new_lag4q,firms_founded_yoy_lag8q,hhi_new_lag8q,fhfa_yoy_fwd4q,zillow_yoy_fwd4q,yq,date
10180,"Abilene, TX","Abilene, TX",1977,1,,,,,,,1.0,0.0,1.0,1.0,1.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,,,1977Q1,1977-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1980,1,,,,,,,1.0,-0.5,1.0,1.0,1.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,,,1980Q1,1980-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1981,1,,,,,,,2.0,1.0,0.5,0.5,2.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,-0.5,1.0,,,,,1981Q1,1981-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1983,1,,,,,,,2.0,1.0,0.5,0.5,2.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,1.0,0.5,,,1983Q1,1983-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1984,1,,,,,,,3.0,2.0,0.5555555555555556,0.6666666666666666,2.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,1.0,0.5,,,,,1984Q1,1984-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1986,1,,,,,,,2.0,1.0,0.5,0.5,2.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,2.0,0.5555555555555556,,,1986Q1,1986-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1986,2,108.06,,,,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,1.0,0.5,,,,,,,-0.0663520266518601,,1986Q2,1986-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1986,3,108.28,,0.0020359059781602,,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,1.0,0.5,,,,,-0.1207979312892501,,1986Q3,1986-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1986,4,94.8,,-0.1244920576283709,,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,-0.0074894514767931,,1986Q4,1986-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1987,1,101.63,,0.0720464135021097,,,,1.0,-0.5,1.0,1.0,1.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,1.0,0.5,,,-0.1863622945980517,,1987Q1,1987-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1987,2,100.89,,-0.0072813145724687,-0.0663520266518601,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,-0.5,1.0,,,,,,,-0.1323223312518584,,1987Q2,1987-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1987,3,95.2,,-0.0563980572901179,-0.1207979312892501,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,-0.5,1.0,,,,,-0.1262605042016806,,1987Q3,1987-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1987,4,94.09,,-0.0116596638655461,-0.0074894514767931,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,-0.0977787224997343,,1987Q4,1987-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1988,1,82.69,,-0.1211605909235838,-0.1863622945980517,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,-0.5,1.0,1.0,0.5,0.0736485669367517,,1988Q1,1988-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1988,2,87.54,,0.0586527996130126,-0.1323223312518584,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,-0.0755083390450079,,1988Q2,1988-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1988,3,83.18,,-0.0498058030614576,-0.1262605042016806,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0122625631161337,,1988Q3,1988-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1988,4,84.89,,0.020557826400577,-0.0977787224997343,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,-0.09977618094004,,1988Q4,1988-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1989,1,88.78,,0.0458240075391682,0.0736485669367517,,,2.0,0.0,0.5,0.5,2.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,-0.5,1.0,-0.0810993466997072,,1989Q1,1989-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1989,2,80.93,,-0.0884208154989861,-0.0755083390450079,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,0.0,0.5,,,,,,,-0.01359199308044,,1989Q2,1989-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1989,3,84.2,,0.040405288520944,0.0122625631161337,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,0.0,0.5,,,,,-0.0559382422802851,,1989Q3,1989-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1989,4,76.42,,-0.0923990498812351,-0.09977618094004,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0819157288667888,,1989Q4,1989-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1990,1,81.58,,0.0675215912064903,-0.0810993466997072,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,0.0,0.5,,,0.0256190242706546,,1990Q1,1990-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1990,2,79.83,,-0.021451336111792,-0.01359199308044,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0999624201428035,,1990Q2,1990-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1990,3,79.49,,-0.0042590504822749,-0.0559382422802851,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.1118379670398792,,1990Q3,1990-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1990,4,82.68,,0.0401308340671784,0.0819157288667888,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0124576681180452,,1990Q4,1990-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1991,1,83.67,,0.0119738751814222,0.0256190242706546,,,2.0,-0.3333333333333333,0.5,0.5,2.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,0.0,0.5,0.1152145332855265,,1991Q1,1991-03-31 23:59:59.999999999
