Unnamed: 0,date,city,state,cbsa_code,hpi_index,pct_change
0,1986-04-01,abilene,TX,10180,108.06,
1,1986-07-01,abilene,TX,10180,108.28,0.2035905978160279
2,1986-10-01,abilene,TX,10180,94.8,-12.44920576283709
3,1987-01-01,abilene,TX,10180,101.63,7.204641350210972
4,1987-04-01,abilene,TX,10180,100.89,-0.7281314572468722
5,1987-07-01,abilene,TX,10180,95.2,-5.639805729011793
6,1987-10-01,abilene,TX,10180,94.09,-1.1659663865546177
7,1988-01-01,abilene,TX,10180,82.69,-12.11605909235839
8,1988-04-01,abilene,TX,10180,87.54,5.865279961301262
9,1988-07-01,abilene,TX,10180,83.18,-4.980580306145765
10,1988-10-01,abilene,TX,10180,84.89,2.0557826400577017
11,1989-01-01,abilene,TX,10180,88.78,4.5824007539168266
12,1989-04-01,abilene,TX,10180,80.93,-8.842081549898618
13,1989-07-01,abilene,TX,10180,84.2,4.040528852094405
14,1989-10-01,abilene,TX,10180,76.42,-9.239904988123516
15,1990-01-01,abilene,TX,10180,81.58,6.752159120649037
16,1990-04-01,abilene,TX,10180,79.83,-2.1451336111792063
17,1990-07-01,abilene,TX,10180,79.49,-0.4259050482274928
18,1990-10-01,abilene,TX,10180,82.68,4.013083406717843
19,1991-01-01,abilene,TX,10180,83.67,1.197387518142223
20,1991-04-01,abilene,TX,10180,87.81,4.948010039440653
21,1991-07-01,abilene,TX,10180,88.38,0.6491288008199536
22,1991-10-01,abilene,TX,10180,83.71,-5.2840009051821735
23,1992-01-01,abilene,TX,10180,93.31,11.468163899175732
24,1992-04-01,abilene,TX,10180,90.94,-2.53992069445933
25,1992-07-01,abilene,TX,10180,91.99,1.1546074334726208
26,1992-10-01,abilene,TX,10180,92.6,0.663115556038707
27,1993-01-01,abilene,TX,10180,94.69,2.2570194384449183
28,1993-04-01,abilene,TX,10180,97.51,2.97813919104446
29,1993-07-01,abilene,TX,10180,96.91,-0.6153215054866212
30,1993-10-01,abilene,TX,10180,99.49,2.6622639562480677
31,1994-01-01,abilene,TX,10180,98.06,-1.437330384963309
32,1994-04-01,abilene,TX,10180,100.31,2.2945135631246227
33,1994-07-01,abilene,TX,10180,99.2,-1.1065696341341802
34,1994-10-01,abilene,TX,10180,96.99,-2.227822580645167
35,1995-01-01,abilene,TX,10180,100.0,3.1034127229611297
36,1995-04-01,abilene,TX,10180,101.97,1.970000000000005
37,1995-07-01,abilene,TX,10180,100.69,-1.2552711581837794
38,1995-10-01,abilene,TX,10180,102.37,1.6684874366868607
39,1996-01-01,abilene,TX,10180,105.42,2.979388492722479
40,1996-04-01,abilene,TX,10180,106.53,1.0529311326124002
41,1996-07-01,abilene,TX,10180,105.62,-0.8542194686942617
42,1996-10-01,abilene,TX,10180,105.7,0.0757432304487659
43,1997-01-01,abilene,TX,10180,105.53,-0.160832544938505
44,1997-04-01,abilene,TX,10180,105.62,0.085283805552927
45,1997-07-01,abilene,TX,10180,108.83,3.039197121757242
46,1997-10-01,abilene,TX,10180,109.55,0.6615822842966024
47,1998-01-01,abilene,TX,10180,109.72,0.1551802829758086
48,1998-04-01,abilene,TX,10180,108.21,-1.376230404666423
49,1998-07-01,abilene,TX,10180,110.86,2.44894187228537
50,1998-10-01,abilene,TX,10180,112.18,1.1906909615731598
51,1999-01-01,abilene,TX,10180,112.52,0.3030843287573415
52,1999-04-01,abilene,TX,10180,113.83,1.1642374688944246
53,1999-07-01,abilene,TX,10180,114.98,1.0102784854607805
54,1999-10-01,abilene,TX,10180,115.91,0.8088363193598846
55,2000-01-01,abilene,TX,10180,114.48,-1.2337158139936075
56,2000-04-01,abilene,TX,10180,114.11,-0.323200559049619
57,2000-07-01,abilene,TX,10180,115.67,1.367101919200775
58,2000-10-01,abilene,TX,10180,118.6,2.5330682112907343
59,2001-01-01,abilene,TX,10180,118.74,0.1180438448566523
60,2001-04-01,abilene,TX,10180,120.25,1.2716860367188776
61,2001-07-01,abilene,TX,10180,119.12,-0.9397089397089388
62,2001-10-01,abilene,TX,10180,123.57,3.73572867696439
63,2002-01-01,abilene,TX,10180,122.91,-0.5341102209274085
64,2002-04-01,abilene,TX,10180,121.85,-0.8624196566593412
65,2002-07-01,abilene,TX,10180,123.54,1.3869511694706738
66,2002-10-01,abilene,TX,10180,127.17,2.9383195726080613
67,2003-01-01,abilene,TX,10180,126.5,-0.5268538177243043
68,2003-04-01,abilene,TX,10180,127.39,0.7035573122529559
69,2003-07-01,abilene,TX,10180,128.06,0.5259439516445585
70,2003-10-01,abilene,TX,10180,126.48,-1.2337966578166435
71,2004-01-01,abilene,TX,10180,130.37,3.0755850727387735
72,2004-04-01,abilene,TX,10180,132.22,1.4190381222673798
