handle,name,website,industry,size,type,founded,city,state,country_code
company/&-shayna-solution-partners,& Shayna solution partners,andshayna.com,retail,1-10,Partnership,,,,
company/'addinall-management-and-systems','Addinall Management and Systems',,business consulting and services,,,,,,
company/'baden-regio'-gemeinden-region-baden-wettingen,"'Baden Regio', Gemeinden Region Baden-Wettingen",baden-regio.ch,,,,,Wettingen,Aargau,CH
company/'friends-with-rice'​-stichting-'vrienden-met-rijst'​,'Friends With Rice' / Stichting 'Vrienden Met Rijst',vriendenmetrijst.nl,philanthropic fundraising services,1-10,Nonprofit,2014.0,Lisse,South Holland,NL
company/'i-say'-supported-living-services-limited,'I SAY' SUPPORTED LIVING SERVICES LIMITED,,consumer services,,,,Rochester,England,GB
company/'n-kaps,'n Kaps,kaps.nl,hospitality,11-50,,,Tubbergen,Overijssel,NL
company/'t-haasje-recreatiepark-b.v.,'t Haasje Recreatiepark B.V.,haasjeoosterhout.nl,recreational facilities,11-50,,,Dorst,North Brabant,NL
company/'t-oude-raadhuis,'t Oude Raadhuis,ouderaadhuisheesch.nl,restaurants,11-50,,,Heesch,North Brabant,NL
company/'t-soetendal,'t Soetendal,soetendalurk.nl,retail groceries,11-50,,,Urk,Flevoland,NL
company/-1-,First Bit Russia,1cbit.ru,it services and it consulting,1K-5K,Privately Held,1997.0,Moscow,Moscow,RU
company/-20-20-group---sotavento-beach-resort-,"""20/20 Group - Sotavento Beach Resort""",,hospitality,51-200,Privately Held,,Vancouver,British Columbia,CA
company/-_39,"Группа компаний ""Бионика""/ИД ""Бионика""",bionika.ru,book and periodical publishing,201-500,Privately Held,,,,
company/-a-bathing-ape-bape-ltd,*A BATHING APE / BAPE ltd,bape.com,retail apparel and fashion,,,,,,
company/-aintegra-saone-beaujolais,-AINTEGRA SAONE BEAUJOLAIS,aintegra-sb.fr,,,,,Villefranche-Sur-Sane,,FR
company/-aka-design,Home Made Lovely (formerly AKA Design),homemadelovely.com,broadcast media production and distribution,1-10,Privately Held,2010.0,Clarington,Ontario,CA
company/-bbr-,# BBR #,nedbullion.in,financial services,1-10,Self-Owned,,,,
company/-carga-lda-,+ Carga Lda.,carga-lda.pt,,,,,,,
company/-clr-data,<CLR> Data,,software development,,,,,,
company/-com-ua,Автокредит.com.ua,xn--80aegdqj1arpg.com.ua,financial services,1-10,Public Company,,,,UA
company/-developing-my-own-law-firm-,[developing my own law firm],stevensadler.com,law practice,1-10,Privately Held,,,,
company/-digital-democracy,Digital Democracy,digital-democracy.org,it services and it consulting,1-10,Nonprofit,2008.0,,,
company/-ditions-lapin,Éditions lapin,lapin.org,book and periodical publishing,1-10,Privately Held,2005.0,Villeurbanne,Auvergne-Rhone-Alpes,FR
company/-echelon-international,青岛易雪龙食品有限公司 – Echelon International,,international trade and development,11-50,Public Company,2009.0,,,
company/-etingil-kumlama,Cetingil | TURKBLAST,cetingil.com.tr,industrial machinery manufacturing,11-50,Privately Held,1995.0,Ankara,Ankara,TR
company/-f-luxury-world,"""F"" Luxury World",thefluxuryworld.com,retail luxury goods and jewelry,1-10,Privately Held,2012.0,,,
company/-fathom-computer-and-networking-services,~ Fathom ~ Computer and Networking Services,fathomcomputerservices.com,information technology & services,1-10,Self-Owned,1998.0,Lowell,Massachusetts,US
company/-grandee-park-llc-гранд-парк-ооо,"""Grandee Park"" LLC / ""Гранд Парк"" ООО",,,,,,,,
company/-h-art,<H>ART,kunsthart.org,retail art supplies,1-10,Privately Held,,,,
company/-inter-national-hotelschoolstudents,(inter)national Hotelschoolstudents,www,hospitality,1-10,Self-Employed,2010.0,,,
company/-izgi-tagem-teknoloji-ara-t-rma-geli-tirme-ve-e-itim-merkezi,Çizgi-Tagem Teknoloji Araştırma Geliştirme ve Eğitim Merkezi,cizgi-tagem.org,computer hardware manufacturing,11-50,Nonprofit,,,,
company/-j-fundur---icelandic-national-assembly,Þjóðfundur - Icelandic National Assembly,thjodfundur2009.is,events services,201-500,Nonprofit,,,,
company/-jet-tec-info-consumable-india-limited,: Jet Tec Info-Consumable India Limited,,"appliances, electrical, and electronics manufacturing",51-200,,,Bhayander E,Maharashtra,IN
company/-ju-æx-,[ju;æx] - JUÆX ApS,juaex.dk,it services and it consulting,1-10,Privately Held,2014.0,Aarhus,Central Jutland,DK
company/-knight's-path,♞ knight's path,knightspath.com,computer games,1-10,Privately Held,2010.0,Laguna Beach,California,US
company/-made-in-media-,Made in Media,madeinmedia.pl,advertising services,1-10,Self-Owned,2011.0,Lodz,Lodzkie,PL
company/-manucomdesign-,manucomdesign,manucomdesign.com,graphic design,1-10,Self-Employed,2007.0,Rio De Janeiro,,BR
company/-mbito-infinito,Âmbito Infinito,ambitoinfinito.com,advertising services,1-10,Self-Owned,2008.0,Matosinhos,Vila Real,PT
company/-moments-photography-ambience-mall-gurgaon,"~ Moments ~ Photography, Ambience Mall, Gurgaon",business.site,photography,,,,Sector,Haryana,IN
company/-nc-o-lu-&-makrel-g-mr-k-m-avirli-i-ltd-ti,Üçüncüoğlu & Makrel Gümrük Müşavirliği Ltd.Şti,,,,,,,,
company/-nl-boya-san-tic-ltd-ti,Ünlü Boya San.Tic.Ltd.Şti,unluboya.com.tr,chemical manufacturing,51-200,Privately Held,1978.0,Karabalar,IZmir,TR
company/-rbs-change-support-et-maintenance-,RBS Change : Support et Maintenance,clickandmortar.fr,"technology, information and internet",1-10,Partnership,,Paris,le-de-France,FR
company/-rea-21,Área 21,,retail apparel and fashion,,,,,,
company/-regina-maria-medical-center-constanta,Dr3D Constanta,doctor3d.ro,hospitals and health care,11-50,Privately Held,2014.0,Constanta,,RO
company/-ris-consultoria,Óris Consultoria,,information technology & services,1-10,Privately Held,,,,
company/-savino-show-wsmnradio.com,"""Savino Show"" WSMNradio.com",savinoshow.com,broadcast media production and distribution,1-10,Educational,,,,
