handle,name,industry,size,state,founded,city
company/1-14-cav,"1-14 CAV, 3-2 Stryker BDE, US Army",armed forces,1K-5K,Washington,1901,Lewis-Mcchord
company/100peoplemacomb,100 People Macomb,philanthropic fundraising services,51-200,Michigan,2018,Sterling Heights
company/128-plumbing-&-heating-inc.,"128 Plumbing, Heating, Cooling & Electric",furniture and home furnishings manufacturing,51-200,Massachusetts,1992,Wakefield
company/1st-choice-energy-services,1ST Choice Energy Services,oil and gas,201-500,Ohio,1933,New Philadelphia
company/1st-choice-llc,"1st Choice, LLC",business consulting and services,201-500,Maryland,2000,Silver Spring
company/2020-management-of-ny-corp,The Xolle Group,construction,51-200,New York,2008,
company/22-catering-group,22 Catering Group,hospitality,51-200,Florida,2020,Miami
company/24-7-ai,[24]7.ai,software development,10K+,California,2000,San Jose
company/2am-link,2am.link,staffing and recruiting,51-200,Florida,2022,Coral Springs
company/2ingage,2INgage,philanthropic fundraising services,51-200,Texas,2018,Abilene
company/2k-games,2K,computer games,1K-5K,California,2005,Novato
company/3-d-technology-inc-,"3D Technology Group, LLC",it services and it consulting,51-200,Tennessee,2001,Franklin
company/360soc,"360 SOC, Inc.",computer and network security,51-200,Arizona,2015,Phoenix
company/3dimensionalservicesgroup,3-Dimensional Services Group,motor vehicle manufacturing,201-500,Michigan,1992,Rochester Hills
company/41-north-contractors-l.l.c.,"41 North Contractors, L.L.C.",construction,51-200,Illinois,2009,Lisle
company/4c-insights,Mediaocean (formerly 4C Insights),advertising services,51-200,Illinois,2012,Chicago
company/5star-life-insurance-company,5Star Life Insurance Company,insurance,51-200,Virginia,1996,Alexandria
company/888voip,888VoIP,telecommunications,51-200,New York,2006,Cheektowaga
company/a-&-a-contractors,A & A Contractors,construction,51-200,Virginia,2011,Moseley
company/a-&-e-clothing-corp,A&E Clothing Corporation,wholesale,51-200,New Jersey,1996,Hamilton
company/a-associat,A & Associates,staffing and recruiting,201-500,Florida,2003,West Palm Beach
company/a-better-way-inc-,"A Better Way, Inc.",mental health care,51-200,California,1996,Berkeley
company/a-classic-time-watch-company-inc-,"A Classic Time Watch Company, Inc.",wholesale,51-200,York,1985,New
company/aaa-translation,AAA Translation,translation and localization,51-200,Missouri,1994,Chesterfield
company/aabbott-michelli-technologies-inc,"Aabbott-Michelli Technologies, Inc.",automation machinery manufacturing,51-200,Texas,1947,Houston
company/aadco-medical-inc.,"AADCO Medical, Inc.",medical equipment manufacturing,51-200,Vermont,1985,Randolph
company/aaegift,All About e-Gift Rewards,it services and it consulting,51-200,Delaware,2021,Dover
company/aam-security-services,AAM Security Services,security and investigations,51-200,New York,2015,New York
company/aarn-eyewear,AARN EYEWEAR,luxury goods & jewelry,201-500,,2010,Somerville
company/aaron-school,Aaron School,primary and secondary education,51-200,New York,2002,New York
company/aask-home-and-community-based-services,AASK Home and Community Based Services,individual and family services,51-200,Arizona,1988,Phoenix
company/ab-powers,AB Powers,engines and power transmission equipment manufacturing,51-200,Texas,2016,El Paso
company/abacusjaspers,Abacus Jasper's Restaurant Group,restaurants,51-200,Texas,1999,Carrollton
company/abaecare,Catalyst Behavior Solutions,mental health care,201-500,South Dakota,2008,Sioux Falls
company/abbey-paving,Abbey,construction,51-200,Illinois,1982,Aurora
company/abc-medicare-plans,ABC Medicare Plans,insurance,201-500,Oklahoma,2011,Oklahoma City
company/able-air-inc,Able Air Inc.,consumer services,51-200,Florida,1980,Melbourne
