name,year founded,industry,size range,locality,country,current employee estimate
ibm,1911.0,information technology and services,10001+,"new york, new york, united states",united states,274047
us army,1800.0,military,10001+,"alexandria, virginia, united states",united states,162163
hewlett-packard,1939.0,information technology and services,10001+,"palo alto, california, united states",united states,127952
cognizant technology solutions,1994.0,information technology and services,10001+,"teaneck, new jersey, united states",united states,122031
walmart,1962.0,retail,10001+,"withee, wisconsin, united states",united states,120753
microsoft,1975.0,computer software,10001+,"redmond, washington, united states",united states,116196
at&t,1876.0,telecommunications,10001+,"dallas, texas, united states",united states,115188
united states air force,1947.0,defense & space,10001+,"randolph, texas, united states",united states,113997
pwc,1998.0,accounting,10001+,"new york, new york, united states",united states,111372
wells fargo,,financial services,10001+,"san francisco, california, united states",united states,109532
deloitte,1900.0,management consulting,10001+,"new york, new york, united states",united states,104112
citi,1812.0,financial services,10001+,"new york, new york, united states",united states,101482
bank of america,1968.0,banking,10001+,"charlotte, north carolina, united states",united states,97357
jpmorgan chase & co.,1823.0,financial services,10001+,"new york, new york, united states",united states,95234
us navy,,military,10001+,"washington, district of columbia, united states",united states,94458
amazon,1994.0,internet,10001+,"seattle, washington, united states",united states,93247
apple,1976.0,consumer electronics,10001+,"cupertino, california, united states",united states,90095
oracle,1977.0,information technology and services,10001+,"redwood shores, california, united states",united states,85090
google,1998.0,internet,10001+,"mountain view, california, united states",united states,75109
united states postal service,,government administration,10001+,"washington, district of columbia, united states",united states,74357
mcdonald's corporation,1955.0,restaurants,10001+,"oak brook, illinois, united states",united states,68233
boeing,1916.0,aviation & aerospace,10001+,"chicago, illinois, united states",united states,67261
kaiser permanente,1945.0,hospital & health care,10001+,"oakland, california, united states",united states,65839
ford motor company,1903.0,automotive,10001+,"dearborn, michigan, united states",united states,65335
intel corporation,1968.0,semiconductors,10001+,"santa clara, california, united states",united states,64046
department of veterans affairs,1930.0,government administration,10001+,"washington, district of columbia, united states",united states,62685
cisco,1984.0,computer networking,10001+,"san jose, california, united states",united states,61803
general motors,,automotive,10001+,"detroit, michigan, united states",united states,61638
pepsico,1965.0,food & beverages,10001+,"purchase, new york, united states",united states,61040
target,1962.0,retail,10001+,"minneapolis, minnesota, united states",united states,60602
ups,1907.0,transportation/trucking/railroad,10001+,"atlanta, georgia, united states",united states,59712
pfizer,1848.0,pharmaceuticals,10001+,"new york, new york, united states",united states,59588
unitedhealth group,1980.0,hospital & health care,10001+,"minneapolis, minnesota, united states",united states,57720
dell,1984.0,information technology and services,10001+,"round rock, texas, united states",united states,55945
honeywell,1985.0,electrical/electronic manufacturing,10001+,"morristown, new jersey, united states",united states,51721
schlumberger,1926.0,oil & energy,10001+,"houston, texas, united states",united states,50715
lockheed martin,1912.0,defense & space,10001+,"bethesda, maryland, united states",united states,50303
starbucks,1971.0,retail,10001+,"seattle, washington, united states",united states,46523
morgan stanley,1935.0,financial services,10001+,"new york, new york, united states",united states,44799
the home depot,1977.0,retail,10001+,"atlanta, georgia, united states",united states,44630
johnson & johnson,1887.0,hospital & health care,10001+,"new brunswick, new jersey, united states",united states,43985
schneider electric,1836.0,electrical/electronic manufacturing,10001+,"erlanger, kentucky, united states",united states,43240
state farm,1922.0,insurance,10001+,"bloomington, illinois, united states",united states,43096
ge,1892.0,electrical/electronic manufacturing,10001+,"fairfield, connecticut, united states",united states,42043
procter & gamble,1837.0,consumer goods,10001+,"cincinnati, ohio, united states",united states,40562
walgreens,1901.0,retail,10001+,"deerfield, illinois, united states",united states,40455
"keller williams realty, inc.",1983.0,real estate,10001+,"austin, texas, united states",united states,40325
