name,domain,year founded,industry,size range,locality,country
ibm,ibm.com,1911.0,information technology and services,10001+,"new york, new york, united states",united states
us army,goarmy.com,1800.0,military,10001+,"alexandria, virginia, united states",united states
hewlett-packard,hpe.com,1939.0,information technology and services,10001+,"palo alto, california, united states",united states
cognizant technology solutions,cognizant.com,1994.0,information technology and services,10001+,"teaneck, new jersey, united states",united states
walmart,walmartcareers.com,1962.0,retail,10001+,"withee, wisconsin, united states",united states
microsoft,microsoft.com,1975.0,computer software,10001+,"redmond, washington, united states",united states
at&t,att.com,1876.0,telecommunications,10001+,"dallas, texas, united states",united states
united states air force,airforce.com,1947.0,defense & space,10001+,"randolph, texas, united states",united states
pwc,pwc.com,1998.0,accounting,10001+,"new york, new york, united states",united states
wells fargo,wellsfargo.com,,financial services,10001+,"san francisco, california, united states",united states
deloitte,deloitte.com,1900.0,management consulting,10001+,"new york, new york, united states",united states
citi,citigroup.com,1812.0,financial services,10001+,"new york, new york, united states",united states
bank of america,bankofamerica.com,1968.0,banking,10001+,"charlotte, north carolina, united states",united states
jpmorgan chase & co.,jpmorganchase.com,1823.0,financial services,10001+,"new york, new york, united states",united states
us navy,navy.com,,military,10001+,"washington, district of columbia, united states",united states
amazon,amazon.com,1994.0,internet,10001+,"seattle, washington, united states",united states
apple,apple.com,1976.0,consumer electronics,10001+,"cupertino, california, united states",united states
oracle,oracle.com,1977.0,information technology and services,10001+,"redwood shores, california, united states",united states
google,google.com,1998.0,internet,10001+,"mountain view, california, united states",united states
united states postal service,usps.com,,government administration,10001+,"washington, district of columbia, united states",united states
mcdonald's corporation,aboutmcdonalds.com,1955.0,restaurants,10001+,"oak brook, illinois, united states",united states
boeing,boeing.com,1916.0,aviation & aerospace,10001+,"chicago, illinois, united states",united states
kaiser permanente,kaiserpermanente.org,1945.0,hospital & health care,10001+,"oakland, california, united states",united states
ford motor company,ford.com,1903.0,automotive,10001+,"dearborn, michigan, united states",united states
intel corporation,intel.com,1968.0,semiconductors,10001+,"santa clara, california, united states",united states
department of veterans affairs,va.gov,1930.0,government administration,10001+,"washington, district of columbia, united states",united states
cisco,cisco.com,1984.0,computer networking,10001+,"san jose, california, united states",united states
general motors,gm.com,,automotive,10001+,"detroit, michigan, united states",united states
pepsico,pepsico.com,1965.0,food & beverages,10001+,"purchase, new york, united states",united states
target,target.com,1962.0,retail,10001+,"minneapolis, minnesota, united states",united states
ups,ups.com,1907.0,transportation/trucking/railroad,10001+,"atlanta, georgia, united states",united states
pfizer,pfizer.com,1848.0,pharmaceuticals,10001+,"new york, new york, united states",united states
unitedhealth group,unitedhealthgroup.com,1980.0,hospital & health care,10001+,"minneapolis, minnesota, united states",united states
dell,dell.com,1984.0,information technology and services,10001+,"round rock, texas, united states",united states
honeywell,honeywell.com,1985.0,electrical/electronic manufacturing,10001+,"morristown, new jersey, united states",united states
schlumberger,slb.com,1926.0,oil & energy,10001+,"houston, texas, united states",united states
lockheed martin,lockheedmartin.com,1912.0,defense & space,10001+,"bethesda, maryland, united states",united states
starbucks,starbucks.com,1971.0,retail,10001+,"seattle, washington, united states",united states
morgan stanley,morganstanley.com,1935.0,financial services,10001+,"new york, new york, united states",united states
the home depot,homedepot.com,1977.0,retail,10001+,"atlanta, georgia, united states",united states
johnson & johnson,jnj.com,1887.0,hospital & health care,10001+,"new brunswick, new jersey, united states",united states
schneider electric,schneider-electric.com,1836.0,electrical/electronic manufacturing,10001+,"erlanger, kentucky, united states",united states
state farm,statefarm.com,1922.0,insurance,10001+,"bloomington, illinois, united states",united states
ge,ge.com,1892.0,electrical/electronic manufacturing,10001+,"fairfield, connecticut, united states",united states
procter & gamble,pg.com,1837.0,consumer goods,10001+,"cincinnati, ohio, united states",united states
walgreens,walgreens.com,1901.0,retail,10001+,"deerfield, illinois, united states",united states
"keller williams realty, inc.",kw.com,1983.0,real estate,10001+,"austin, texas, united states",united states
"lowe's companies, inc.",lowes.com,1946.0,retail,10001+,"mooresville, north carolina, united states",united states
united states marine corps,marines.com,,military,10001+,"washington, district of columbia, united states",united states
dell emc,dellemc.com,1979.0,information technology and services,10001+,"hopkinton, massachusetts, united states",united states
verizon wireless,verizonwireless.com,2000.0,telecommunications,10001+,"basking ridge, new jersey, united states",united states
j.p. morgan,jpmorgan.com,,financial services,10001+,"new york, new york, united states",united states
verizon,verizon.com,1983.0,information technology and services,10001+,"basking ridge, new jersey, united states",united states
kpmg,kpmg.com,1987.0,accounting,10001+,"montvale, new jersey, united states",united states
linkedin,linkedin.com,2003.0,internet,10001+,"mountain view, california, united states",united states
facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states
northrop grumman corporation,northropgrumman.com,1939.0,defense & space,10001+,"falls church, virginia, united states",united states
adp,adp.com,1949.0,human resources,10001+,"roseland, new jersey, united states",united states
medtronic,medtronic.com,1949.0,medical devices,10001+,"minneapolis, minnesota, united states",united states
abbott,abbott.com,1980.0,hospital & health care,10001+,"illinois city, illinois, united states",united states
chevron,chevron.com,1879.0,oil & energy,10001+,"san ramon, california, united states",united states
american express,americanexpress.com,1850.0,financial services,10001+,"new york, new york, united states",united states
samsung electronics,samsung.com,1938.0,electrical/electronic manufacturing,10001+,"none, south carolina, united states",united states
macy's,macysjobs.com,1858.0,retail,10001+,"cincinnati, ohio, united states",united states
thomson reuters,tr.com,2008.0,information technology and services,10001+,"new york, new york, united states",united states
avon,avoncompany.com,1886.0,cosmetics,10001+,"new york, new york, united states",united states
cvs health,cvshealth.com,1963.0,pharmaceuticals,10001+,"woonsocket, rhode island, united states",united states
halliburton,halliburton.com,1919.0,oil & energy,10001+,"houston, texas, united states",united states
csc,csc.com,1959.0,information technology and services,10001+,"falls church, virginia, united states",united states
merck,merck.com,1891.0,pharmaceuticals,10001+,"kenilworth, new jersey, united states",united states
kpmg,beaconpartners.com,,financial services,10001+,"new york, new york, united states",united states
dxc technology,dxc.technology,2017.0,information technology and services,10001+,,united states
johnson controls,johnsoncontrols.com,1885.0,mechanical or industrial engineering,10001+,"milwaukee, wisconsin, united states",united states
allstate,al.st,1931.0,insurance,10001+,"northbrook, illinois, united states",united states
marriott international,marriott.com,1927.0,hospitality,10001+,"bethesda, maryland, united states",united states
3m health care,3m.com,1902.0,mechanical or industrial engineering,10001+,"saint paul, minnesota, united states",united states
xerox,xerox.com,1906.0,information technology and services,10001+,"norwalk, connecticut, united states",united states
cbre,cbre.com,,real estate,10001+,"los angeles, california, united states",united states
nyc department of education,nyc.gov,,education management,10001+,"new york, new york, united states",united states
goldman sachs,goldmansachs.com,1869.0,investment banking,10001+,"new york, new york, united states",united states
fidelity investments,fidelity.com,1946.0,financial services,10001+,"boston, massachusetts, united states",united states
exxonmobil,exxonmobil.com,1999.0,oil & energy,10001+,"irving, texas, united states",united states
t-mobile,tmobile.com,2002.0,telecommunications,10001+,"bellevue, washington, united states",united states
nike,nike.com,1972.0,sporting goods,10001+,"beaverton, oregon, united states",united states
best buy,bestbuy.com,1966.0,retail,10001+,"richfield, minnesota, united states",united states
american airlines,aa.com,1930.0,airlines/aviation,10001+,"fort worth, texas, united states",united states
baker hughes,bhge.com,,oil & energy,10001+,"houston, texas, united states",united states
the coca-cola company,coca-colacompany.com,1892.0,food & beverages,10001+,"atlanta, georgia, united states",united states
genpact,genpact.com,1997.0,information technology and services,10001+,"new york, new york, united states",united states
jll,jll.com,,commercial real estate,10001+,"chicago, illinois, united states",united states
u.s. bank,usbank.com,,banking,10001+,"minneapolis, minnesota, united states",united states
pnc,pnc.com,2014.0,financial services,10001+,"pittsburgh, pennsylvania, united states",united states
sprint,sprint.com,1899.0,telecommunications,10001+,"overland park, kansas, united states",united states
airbus,airbusgroup.com,2014.0,aviation & aerospace,10001+,"arlington, virginia, united states",united states
capital one,capitalone.com,1994.0,financial services,10001+,"mclean, virginia, united states",united states
delta air lines,delta.com,1928.0,airlines/aviation,10001+,"atlanta, georgia, united states",united states
merrill lynch,ml.com,1914.0,financial services,10001+,"new york, new york, united states",united states
mondelēz international,mondelezinternational.com,1903.0,food production,10001+,"deerfield, illinois, united states",united states
farmers insurance,farmers.com,1928.0,insurance,10001+,"los angeles, california, united states",united states
aecom,aecom.com,1990.0,civil engineering,10001+,"los angeles, california, united states",united states
united states department of defense,defense.gov,1947.0,military,10001+,"washington, district of columbia, united states",united states
metlife,metlife.com,1868.0,insurance,10001+,"new york, new york, united states",united states
total,total.com,1924.0,oil & energy,10001+,"san diego, california, united states",united states
cargill,cargill.com,1865.0,food production,10001+,"wayzata, minnesota, united states",united states
united airlines,united.com,1926.0,airlines/aviation,10001+,"chicago, illinois, united states",united states
mary kay inc.,marykay.com,1963.0,cosmetics,10001+,"addison, texas, united states",united states
liberty mutual insurance,libertymutualgroup.com,1912.0,insurance,10001+,"boston, massachusetts, united states",united states
comcast,comcast.com,1963.0,media production,10001+,"philadelphia, pennsylvania, united states",united states
caterpillar inc.,caterpillar.com,1925.0,machinery,10001+,"peoria heights, illinois, united states",united states
jacobs,jacobs.com,1947.0,construction,10001+,"pasadena, california, united states",united states
bny mellon,bnymellon.com,,financial services,10001+,"new york, new york, united states",united states
raytheon,raytheon.com,1922.0,defense & space,10001+,"waltham, massachusetts, united states",united states
eli lilly and company,lilly.com,1876.0,pharmaceuticals,10001+,"indianapolis, indiana, united states",united states
hp,hp.com,,information technology and services,10001+,"palo alto, california, united states",united states
uber,uber.com,2009.0,internet,10001+,"san francisco, california, united states",united states
kroger,thekrogerco.com,1883.0,retail,10001+,"cincinnati, ohio, united states",united states
thermo fisher scientific,thermofisher.com,1956.0,research,10001+,"waltham, massachusetts, united states",united states
aig,aig.com,1919.0,insurance,10001+,"new york, new york, united states",united states
novo nordisk,novonordisk.com,1923.0,pharmaceuticals,10001+,"plainsboro, new jersey, united states",united states
h&r block,hrblock.com,1955.0,retail,10001+,"kansas city, missouri, united states",united states
social security administration,socialsecurity.gov,1935.0,government administration,10001+,"baltimore, maryland, united states",united states
costco wholesale,costco.com,1983.0,retail,10001+,"issaquah, washington, united states",united states
thales,thalesgroup.com,2015.0,defense & space,10001+,"alexandria, virginia, united states",united states
convergys,convergys.com,1998.0,outsourcing/offshoring,10001+,"cincinnati, ohio, united states",united states
iqvia,iqvia.com,2016.0,hospital & health care,10001+,"danbury, connecticut, united states",united states
salesforce,salesforce.com,1999.0,internet,10001+,"san francisco, california, united states",united states
the dow chemical company,dow.com,1897.0,chemicals,10001+,"midland, michigan, united states",united states
hilton worldwide,stayhgi.com,1919.0,hospitality,10001+,"mclean, virginia, united states",united states
los angeles unified school district,lausd.net,1853.0,education management,10001+,"los angeles, california, united states",united states
army national guard,nationalguard.com,,military,10001+,"arlington, virginia, united states",united states
nordstrom,nordstrom.com,1901.0,retail,10001+,"seattle, washington, united states",united states
lifespan,lifespan.org,1994.0,hospital & health care,10001+,"providence, rhode island, united states",united states
fedex,,1973.0,package/freight delivery,10001+,"memphis, tennessee, united states",united states
edward jones,edwardjones.com,1922.0,financial services,10001+,"st. louis, missouri, united states",united states
travelers,travelers.com,1853.0,insurance,10001+,"new york, new york, united states",united states
state street,statestreet.com,,financial services,10001+,"boston, massachusetts, united states",united states
the walt disney company,disneycareers.com,1923.0,entertainment,10001+,"burbank, california, united states",united states
nielsen,nielsen.com,,information services,10001+,"new york, new york, united states",united states
herbalife,herbalife.com,1980.0,"health, wellness and fitness",10001+,"los angeles, california, united states",united states
northwestern mutual,northwesternmutual.com,1857.0,financial services,10001+,"milwaukee, wisconsin, united states",united states
eaton,eaton.com,1911.0,electrical/electronic manufacturing,10001+,"cleveland, ohio, united states",united states
aflac,aflac.com,1955.0,insurance,10001+,"columbus, georgia, united states",united states
united nations,un.org,1945.0,international affairs,10001+,"new york, new york, united states",united states
mayo clinic,mayoclinic.org,,hospital & health care,10001+,"rochester, minnesota, united states",united states
booz allen hamilton,boozallen.com,1914.0,management consulting,10001+,"mclean, virginia, united states",united states
qualcomm,qualcomm.com,1985.0,wireless,10001+,"san diego, california, united states",united states
john deere,johndeere.com,1837.0,machinery,10001+,"moline, illinois, united states",united states
aetna,aetna.com,1853.0,insurance,10001+,"hartford, connecticut, united states",united states
enterprise rent-a-car,enterprise.com,1957.0,automotive,10001+,"hillsborough, new hampshire, united states",united states
bristol-myers squibb,bms.com,1887.0,pharmaceuticals,10001+,"new york, new york, united states",united states
us department of homeland security,dhs.gov,2003.0,government administration,10001+,"washington, district of columbia, united states",united states
new york life insurance company,newyorklife.com,1845.0,financial services,10001+,"new york, new york, united states",united states
weatherford,weatherford.com,1987.0,oil & energy,10001+,"houston, texas, united states",united states
fluor corporation,fluor.com,1912.0,construction,10001+,"irving, texas, united states",united states
hca,hcahealthcare.com,1968.0,hospital & health care,10001+,"nashville, tennessee, united states",united states
dupont,dupont.com,1802.0,chemicals,10001+,"wilmington, delaware, united states",united states
sears holdings corporation,searsholdings.com,2005.0,retail,10001+,"hoffman estates, illinois, united states",united states
cleveland clinic,clevelandclinic.org,1921.0,hospital & health care,10001+,"cleveland, ohio, united states",united states
kohl's department stores,kohls.com,1962.0,retail,10001+,"menomonee falls, wisconsin, united states",united states
humana,humana.com,1961.0,insurance,10001+,"louisville, kentucky, united states",united states
primerica,primerica.com,1977.0,financial services,10001+,"duluth, georgia, united states",united states
coldwell banker residential brokerage,coldwellbanker.com,1906.0,real estate,10001+,"madison, new jersey, united states",united states
faa,faa.gov,1958.0,aviation & aerospace,10001+,"washington, district of columbia, united states",united states
university of michigan,umich.edu,1817.0,higher education,10001+,"ann arbor, michigan, united states",united states
fis,fisglobal.com,,information technology and services,10001+,"jacksonville, florida, united states",united states
ge power,gepower.com,,oil & energy,10001+,"schenectady, new york, united states",united states
epam systems,epam.com,1993.0,computer software,10001+,"newtown, pennsylvania, united states",united states
jcpenney,jcpenney.com,1902.0,retail,10001+,"plano, texas, united states",united states
boston scientific,bostonscientific.com,1979.0,medical devices,10001+,"marlborough, massachusetts, united states",united states
lenovo,lenovo.com,2005.0,computer hardware,10001+,"morrisville, north carolina, united states",united states
amazon web services,,2006.0,information technology and services,10001+,"seattle, washington, united states",united states
philip morris international,pmi.com,2008.0,tobacco,10001+,"new york, new york, united states",united states
alstom,alstom.com,1928.0,railroad manufacture,10001+,"washington, pennsylvania, united states",united states
cummins inc.,cummins.com,1919.0,automotive,10001+,"columbus, indiana, united states",united states
